Nombre, AR (J2000), Dec (J2000), Mag., "A. S., '", S.B., Tránsito, Elev., Elong., Tipo
NGC 3344 (Galaxia Cebolla Rebanada),   10h43m32.5s, +24°55'14.1", 10.00, 4.563, 13.01, 23h13m, +69°51'38.26", 154°18'50.0", galaxia
NGC 3346,   10h43m40.2s, +14°52'12.2", 13.21, 2.300, 13.77, 23h13m, +79°54'40.28", 162°09'15.7", galaxia
NGC 3347,   10h42m48.0s, -36°21'17.8", 11.52, 2.030, 12.38, 23h12m, +48°51'50.45", 139°07'40.5", galaxia
NGC 3350,   10h44m24.4s, +30°43'23.8", 14.49, 0.460, 12.42, 23h14m, +64°03'29.28", 149°18'52.0", galaxia
NGC 3353,   10h45m24.6s, +55°57'35.7", 13.00, 1.017, 12.29, 23h15m, +38°49'18.18", 125°39'06.1", galaxia activa
NGC 3354,   10h43m04.5s, -36°21'53.3", 13.35, 0.977, 12.74, 23h12m, +48°51'14.76", 139°08'17.0", galaxia
NGC 3355,   10h41m27.3s, -23°23'09.2", 13.69, 2.818, 15.20, 23h11m, +61°50'00.09", 150°49'06.3", galaxia
NGC 3356,   10h44m13.5s, +6°45'23.8", 13.71, 1.517, 13.32, 23h14m, +88°01'29.12", 166°24'33.5", galaxia
NGC 3358,   10h43m34.6s, -36°24'47.3", 11.70, 2.967, 13.17, 23h13m, +48°48'20.39", 139°07'40.7", galaxia
NGC 3359,   10h46m39.6s, +63°13'24.5", 10.82, 4.683, 12.94, 23h16m, +31°33'30.36", 118°40'17.5", galaxia
NGC 3362,   10h44m53.0s, +6°35'41.0", 17.09, 1.320, 17.08, 23h14m, +88°11'12.39", 166°36'47.1", galaxia activa
NGC 3363,   10h45m10.8s, +22°04'36.3", 13.44, 1.013, 12.62, 23h15m, +72°42'17.33", 156°54'23.2", radio galaxia
NGC 3365,   10h46m13.9s, +1°48'39.9", 13.53, 3.883, 14.58, 23h16m, +87°01'45.56", 167°30'29.7", galaxia
NGC 3367,   10h46m36.2s, +13°44'55.6", 11.63, 2.877, 13.07, 23h16m, +81°01'59.07", 163°25'54.1", galaxia activa
NGC 3370,   10h47m05.3s, +17°16'18.5", 12.53, 1.827, 12.95, 23h17m, +77°30'36.48", 161°00'11.1", galaxia
NGC 3372 (Nebulosa de η Car),   10h44m21.5s, -59°53'28.3", 1.31, 120.000, 11.44, 23h13m, +25°19'38.87", 116°42'33.4", región HII
NGC 3376,   10h47m27.8s, +6°02'45.2", 13.71, 0.747, 11.97, 23h17m, +88°44'10.09", 167°22'54.4", galaxia
NGC 3377,   10h47m43.7s, +13°59'01.2", 10.51, 2.950, 12.01, 23h17m, +80°47'54.27", 163°28'39.7", galaxia
NGC 3377,   10h47m23.7s, +14°04'09.7", 13.74, 2.200, 15.14, 23h17m, +80°42'45.57", 163°21'36.7", interacción galaxias
NGC 3385,   10h48m12.9s, +4°55'32.0", 13.39, 1.137, 12.74, 23h18m, +89°51'23.84", 167°49'01.4", galaxia
NGC 3387,   10h48m13.1s, +4°59'47.0", 14.09, 0.770, 13.17, 23h18m, +89°47'08.85", 167°48'17.3", radio galaxia
NGC 3389,   10h48m29.2s, +12°31'52.3", 12.96, 2.818, 13.24, 23h18m, +82°15'03.72", 164°34'05.8", galaxia
NGC 3390,   10h48m05.8s, -31°32'08.7", 13.57, 2.650, 13.61, 23h17m, +53°40'55.64", 144°01'28.8", galaxia activa
NGC 3392,   10h51m06.1s, +65°46'52.9", 16.38, 0.677, 14.88, 23h21m, +29°00'05.05", 116°17'34.8", galaxia activa
NGC 3393,   10h48m24.8s, -25°09'52.0", 14.10, 1.913, 14.04, 23h18m, +60°03'12.05", 149°56'23.9", galaxia activa
NGC 3395,   10h49m51.6s, +32°58'53.1", 12.25, 1.740, 12.39, 23h19m, +61°48'03.91", 147°43'20.0", galaxia
NGC 3396,   10h49m57.4s, +32°59'21.3", 12.65, 1.060, 12.32, 23h19m, +61°47'35.76", 147°43'21.3", galaxia
NGC 3398,   10h51m33.7s, +55°23'25.6", 14.12, 1.477, 13.32, 23h21m, +39°23'32.60", 126°25'24.2", galaxia
NGC 3399,   10h49m28.9s, +16°12'59.2", 13.82, 0.807, 12.93, 23h19m, +78°33'57.53", 162°10'31.7", galaxia
NGC 3408,   10h52m14.1s, +58°26'15.1", 14.28, 1.127, 13.64, 23h22m, +36°20'43.61", 123°28'56.5", radio galaxia
NGC 3412,   10h50m54.6s, +13°24'36.5", 10.67, 2.560, 11.82, 23h20m, +81°22'21.20", 164°26'03.7", galaxia
NGC 3416,   10h51m50.0s, +43°45'47.4", 15.41, 0.740, 13.46, 23h21m, +51°01'10.95", 137°39'36.5", galaxia
NGC 3419,   10h51m21.2s, +14°01'17.0", 14.61, 0.973, 12.98, 23h21m, +80°45'41.04", 164°05'12.7", radio galaxia
NGC 3423,   10h51m15.6s, +5°50'16.6", 12.53, 2.633, 13.86, 23h21m, +88°56'41.37", 168°20'48.5", galaxia activa
NGC 3425,   10h51m26.8s, +8°33'53.8", 13.69, 0.733, 12.51, 23h21m, +86°13'04.25", 167°22'31.5", galaxia
NGC 3428,   10h51m30.8s, +9°16'38.9", 13.48, 1.163, 12.66, 23h21m, +85°30'19.22", 167°02'37.6", radio galaxia
NGC 3430,   10h52m12.9s, +32°56'56.3", 12.34, 2.843, 13.55, 23h22m, +61°50'02.33", 147°56'01.0", interacción galaxias
NGC 3432 (Galaxia Aguja de Tejer),   10h52m32.7s, +36°37'02.8", 11.82, 6.273, 13.80, 23h22m, +58°09'56.04", 144°30'31.6", interacción galaxias
NGC 3434,   10h51m59.3s, +3°47'23.3", 13.38, 1.317, 13.36, 23h21m, +89°00'24.85", 168°54'46.3", radio galaxia
NGC 3435,   10h54m51.0s, +61°17'22.2", 13.46, 1.303, 12.78, 23h25m, +33°29'38.29", 120°46'14.5", galaxia
NGC 3437,   10h52m37.1s, +22°55'56.5", 12.10, 1.967, 12.25, 23h22m, +71°51'02.43", 157°04'37.2", galaxia
NGC 3440,   10h53m51.8s, +57°07'05.5", 14.78, 0.803, 13.01, 23h23m, +37°39'54.33", 124°49'00.0", galaxia
NGC 3441,   10h52m32.4s, +7°13'21.8", 13.95, 0.777, 12.54, 23h22m, +87°33'37.01", 168°11'29.2", radio galaxia
NGC 3443,   10h53m01.4s, +17°34'18.2", 14.65, 1.180, 13.95, 23h22m, +77°12'40.98", 161°39'03.6", galaxia
NGC 3445,   10h54m37.8s, +56°59'24.3", 12.76, 1.423, 13.00, 23h24m, +37°47'35.95", 124°57'52.7", interacción galaxias
NGC 3447,   10h53m31.0s, +16°46'55.3", 13.15, 1.862, 13.52, 23h23m, +78°00'04.16", 162°21'10.2", interacción galaxias
NGC 3447,   10h53m25.4s, +16°46'12.0", 14.90, 4.168, 16.67, 23h23m, +78°00'47.40", 162°20'55.1", interacción galaxias
NGC 3451,   10h54m22.3s, +27°14'16.8", 17.55, 1.727, 13.72, 23h24m, +67°32'43.26", 153°23'35.0", galaxia activa
NGC 3454,   10h54m30.8s, +17°20'31.6", 13.61, 2.300, 12.86, 23h24m, +77°26'28.50", 162°02'44.8", interacción galaxias
NGC 3455,   10h54m32.4s, +17°16'57.6", 12.93, 1.633, 13.14, 23h24m, +77°30'02.52", 162°05'51.7", interacción galaxias
NGC 3457,   10h54m49.9s, +17°37'09.2", 12.78, 0.753, 11.86, 23h24m, +77°09'51.10", 161°51'51.6", galaxia
NGC 3458,   10h56m03.8s, +57°06'58.9", 12.78, 0.910, 11.89, 23h26m, +37°40'02.34", 124°53'00.2", galaxia
NGC 3462,   10h55m22.3s, +7°41'40.6", 12.55, 1.257, 12.48, 23h25m, +87°05'20.14", 168°38'09.9", galaxia
NGC 3464,   10h54m41.4s, -21°04'08.2", 13.11, 2.137, 13.97, 23h24m, +64°08'51.55", 154°15'56.8", galaxia
NGC 3466,   10h56m16.8s, +9°45'08.0", 14.03, 0.930, 13.34, 23h26m, +85°01'53.23", 167°46'26.3", galaxia activa
NGC 3468,   10h57m32.8s, +40°56'41.8", 13.43, 1.170, 12.88, 23h27m, +53°50'20.31", 140°39'35.1", blazar
NGC 3470,   10h58m47.3s, +59°30'36.3", 13.74, 0.913, 13.06, 23h28m, +35°16'26.61", 122°36'41.2", interacción galaxias
NGC 3471,   10h59m11.6s, +61°31'47.8", 13.03, 1.337, 12.95, 23h29m, +33°15'15.37", 120°38'15.2", galaxia
NGC 3474,   10h58m10.1s, +17°05'37.1", 14.29, 0.627, 12.74, 23h28m, +77°41'25.37", 162°44'52.6", galaxia activa
NGC 3476,   10h58m08.9s, +9°16'26.0", 14.15, 0.530, 12.32, 23h28m, +85°30'36.50", 168°25'32.6", galaxia
NGC 3477,   10h58m13.8s, +9°12'57.1", 14.87, 0.640, 12.59, 23h28m, +85°34'05.45", 168°28'31.9", galaxia
NGC 3485,   11h00m03.7s, +14°50'22.3", 12.94, 2.633, 13.66, 23h29m, +79°56'41.33", 164°51'06.2", galaxia activa
NGC 3486,   11h00m25.4s, +28°58'23.3", 10.67, 3.047, 12.60, 23h30m, +65°48'40.53", 152°16'20.5", galaxia activa
NGC 3487,   11h00m47.9s, +17°35'08.5", 14.15, 1.033, 12.79, 23h30m, +77°11'55.63", 162°40'06.3", radio galaxia
NGC 3489,   11h00m19.9s, +13°53'57.2", 10.42, 2.307, 11.26, 23h30m, +80°53'06.61", 165°38'05.3", galaxia
NGC 3490,   10h59m55.7s, +9°21'34.6", 14.68, 0.550, 12.79, 23h29m, +85°25'28.99", 168°43'59.0", galaxia
NGC 3492,   11h00m58.7s, +10°30'12.2", 13.76, 0.970, 13.24, 23h30m, +84°16'52.01", 168°12'47.4", galaxia
NGC 3495,   11h01m17.4s, +3°37'33.0", 12.99, 2.633, 13.19, 23h31m, +88°50'28.59", 171°14'15.3", galaxia
NGC 3496,   10h59m38.5s, -60°20'19.3", 8.51, 9.000, 13.02, 23h29m, +24°52'37.46", 116°40'47.5", cúmulo estelar abierto
NGC 3499,   11h03m13.4s, +56°13'15.2", 13.52, 0.603, 11.97, 23h33m, +38°33'50.40", 125°57'10.2", galaxia
NGC 3501,   11h02m48.6s, +17°59'15.2", 12.80, 2.633, 12.51, 23h32m, +76°47'50.05", 162°33'33.7", interacción galaxias
NGC 3504,   11h03m12.6s, +27°58'14.5", 13.07, 2.070, 13.55, 23h33m, +66°48'50.96", 153°25'11.5", galaxia activa
NGC 3506,   11h03m14.2s, +11°04'28.7", 13.39, 1.073, 12.78, 23h33m, +83°42'36.77", 168°13'15.2", galaxia
NGC 3507,   11h03m26.7s, +18°08'00.1", 10.54, 2.967, 12.01, 23h33m, +76°39'05.49", 162°30'12.0", interacción galaxias
NGC 3509,   11h04m24.8s, +4°49'34.9", 14.09, 2.293, 14.52, 23h34m, +89°57'31.24", 171°46'21.3", interacción galaxias
NGC 3510,   11h03m44.8s, +28°53'07.4", 13.56, 2.300, 13.36, 23h33m, +65°53'58.39", 152°35'16.4", galaxia activa
NGC 3512,   11h04m04.4s, +28°02'06.3", 13.01, 1.527, 13.37, 23h33m, +66°44'59.66", 153°25'08.0", galaxia activa
NGC 3515,   11h04m38.7s, +28°13'34.1", 13.56, 0.847, 12.52, 23h34m, +66°33'32.18", 153°16'33.1", radio galaxia
NGC 3516,   11h06m51.7s, +72°34'05.9", 12.74, 1.180, 12.48, 23h37m, +22°13'01.73", 109°51'45.4", galaxia activa
NGC 3519,   11h04m12.2s, -61°22'35.6", 8.02, —, —, 23h33m, +23°50'18.41", 115°44'54.2", cúmulo estelar abierto
NGC 3521 (Galaxia Burbuja),   11h05m49.8s, -0°02'17.4", 9.15, 5.730, 11.95, 23h35m, +85°10'35.67", 171°59'07.5", galaxia activa
NGC 3522,   11h06m41.8s, +20°05'01.2", 13.31, 0.960, 12.25, 23h36m, +74°42'06.24", 161°04'42.0", galaxia
NGC 3527,   11h07m19.6s, +28°31'33.6", 14.03, 1.037, 13.21, 23h37m, +66°15'34.17", 153°09'38.3", galaxia
NGC 3531,   11h06m57.9s, +7°10'18.3", 13.28, 2.183, 13.33, 23h36m, +87°36'49.32", 171°24'17.3", galaxia
NGC 3532 (Cúmulo Pozo de los Deseos),   11h05m41.5s, -58°45'16.6", 3.29, 50.000, 11.52, 23h35m, +26°27'36.60", 118°22'05.0", cúmulo estelar abierto
NGC 3534,   11h08m57.1s, +26°36'30.7", 14.18, 1.590, 13.18, 23h38m, +68°10'37.99", 155°06'08.7", galaxia
NGC 3536,   11h08m52.6s, +28°28'25.8", 14.28, 0.917, 13.24, 23h38m, +66°18'42.82", 153°18'10.9", galaxia
NGC 3539,   11h09m10.3s, +28°40'14.9", 14.50, 1.013, 13.10, 23h39m, +66°06'53.87", 153°07'47.4", galaxia
NGC 3540,   11h09m17.7s, +36°01'10.6", 13.71, 1.383, 13.26, 23h39m, +58°45'58.29", 145°59'18.8", galaxia
NGC 3543,   11h10m59.1s, +61°20'47.6", 14.39, 1.127, 13.16, 23h41m, +33°26'22.12", 121°02'24.2", galaxia
NGC 3549,   11h10m59.0s, +53°23'11.8", 12.56, 2.633, 13.29, 23h40m, +41°23'57.87", 128°55'42.1", galaxia
NGC 3550,   11h10m39.7s, +28°45'55.8", 13.36, 1.470, 13.92, 23h40m, +66°01'13.77", 153°07'14.4", interacción galaxias
NGC 3552,   11h10m44.3s, +28°41'28.4", 14.19, 0.630, 12.76, 23h40m, +66°05'41.20", 153°11'48.4", galaxia
NGC 3554,   11h10m49.3s, +28°39'30.4", 14.43, 0.607, 12.84, 23h40m, +66°07'39.27", 153°13'59.0", radio galaxia
NGC 3557,   11h09m59.2s, -37°32'28.4", 10.58, 2.940, 12.33, 23h39m, +47°40'22.48", 139°25'23.7", radio galaxia
NGC 3558,   11h10m57.3s, +28°32'31.0", 13.79, 0.823, 12.91, 23h40m, +66°14'38.72", 153°21'11.4", radio galaxia
NGC 3559,   11h10m46.5s, +12°00'50.3", 13.69, 1.480, 13.86, 23h40m, +82°46'19.24", 168°39'54.6", galaxia
NGC 3561 (Nudo de Ambartsumian),   11h11m14.6s, +28°41'40.9", 13.80, 0.790, 12.86, 23h41m, +66°05'28.94", 153°13'13.1", galaxia activa
NGC 3564,   11h10m38.0s, -37°32'58.7", 12.39, 1.460, 11.77, 23h40m, +47°39'51.85", 139°26'13.5", galaxia
NGC 3568,   11h10m50.2s, -37°26'59.7", 12.76, 2.743, 13.45, 23h40m, +47°45'50.71", 139°32'31.9", galaxia
NGC 3570,   11h12m04.7s, +27°35'16.1", 13.71, 0.857, 12.87, 23h41m, +67°11'54.13", 154°20'20.2", galaxia
NGC 3572,   11h10m25.6s, -60°14'58.1", 6.91, 6.000, 10.53, 23h40m, +24°57'52.58", 116°58'13.4", cúmulo estelar abierto
NGC 3573,   11h11m20.1s, -36°52'39.1", 13.04, 1.580, 13.15, 23h41m, +48°20'11.05", 140°07'23.4", galaxia activa
NGC 3574,   11h12m13.5s, +27°37'22.2", 14.68, 0.507, 12.64, 23h42m, +67°09'48.15", 154°18'46.1", galaxia activa
NGC 3583,   11h14m12.9s, +48°19'01.6", 12.21, 1.820, 12.63, 23h44m, +46°28'09.70", 134°01'11.7", interacción galaxias
NGC 3590,   11h13m01.6s, -60°47'21.8", 8.51, 4.000, 11.26, 23h42m, +24°25'27.53", 116°28'20.4", cúmulo estelar abierto
NGC 3594,   11h16m16.2s, +55°42'11.3", 13.68, 1.417, 13.62, 23h46m, +39°05'01.00", 126°43'30.6", galaxia
NGC 3596,   11h15m07.5s, +14°47'06.1", 11.62, 2.967, 13.27, 23h44m, +80°00'05.64", 166°44'22.7", galaxia activa
NGC 3603,   11h15m26.1s, -61°15'04.8", 9.42, 2.500, 11.15, 23h45m, +23°57'43.41", 116°02'38.6", región HII
NGC 3604,   11h17m31.4s, +4°33'11.5", 12.42, 1.217, 12.23, 23h47m, +89°45'58.73", 174°57'10.9", galaxia
NGC 3607,   11h16m56.0s, +18°02'59.1", 12.89, 2.650, 14.62, 23h46m, +76°44'13.46", 163°49'45.0", quásar
NGC 3609,   11h17m52.0s, +26°37'26.4", 13.27, 1.393, 13.37, 23h47m, +68°09'46.57", 155°33'34.7", galaxia activa
NGC 3612,   11h18m16.1s, +26°37'07.4", 14.43, 0.943, 13.92, 23h48m, +68°10'05.72", 155°34'54.8", interacción galaxias
NGC 3614,   11h18m23.2s, +45°44'48.7", 13.07, 2.587, 14.39, 23h48m, +49°02'24.45", 136°39'28.4", galaxia
NGC 3621 (Galaxia Marco),   11h18m17.8s, -32°48'52.6", 9.72, 7.460, 12.91, 23h48m, +52°23'54.29", 144°21'17.9", galaxia activa
NGC 3624,   11h18m52.2s, +7°31'09.3", 14.43, 0.937, 13.54, 23h48m, +87°16'04.04", 173°27'04.4", galaxia
NGC 3625,   11h20m33.6s, +57°46'48.9", 13.88, 1.647, 13.53, 23h50m, +37°00'25.17", 124°42'48.7", galaxia
NGC 3628 (Galaxia Hamburguesa),   11h20m18.3s, +13°35'14.4", 9.61, 10.577, 12.92, 23h50m, +81°11'59.57", 168°19'02.6", galaxia activa
NGC 3631,   11h21m05.1s, +53°10'05.5", 12.67, 4.187, 14.00, 23h51m, +41°37'08.79", 129°18'56.3", interacción galaxias
NGC 3633,   11h20m27.5s, +3°34'59.7", 13.78, 1.040, 12.49, 23h50m, +88°47'45.64", 175°57'30.1", galaxia
NGC 3640,   11h21m08.1s, +3°13'57.1", 10.57, 2.543, 12.09, 23h50m, +88°26'42.75", 176°11'49.0", galaxia
NGC 3641,   11h21m10.1s, +3°11'32.1", 13.33, 0.573, 11.79, 23h50m, +88°24'17.75", 176°12'41.5", galaxia
NGC 3642,   11h22m20.5s, +59°04'23.5", 14.26, 1.673, 15.11, 23h52m, +35°42'51.36", 123°26'32.9", galaxia activa
NGC 3644,   11h21m34.1s, +2°48'29.8", 14.16, 0.747, 12.38, 23h51m, +88°01'15.33", 176°21'13.6", galaxia
NGC 3645,   11h21m41.3s, +2°57'41.8", 15.70, 0.477, 13.52, 23h51m, +88°10'27.28", 176°22'14.6", galaxia
NGC 3646,   11h21m44.5s, +20°10'02.9", 11.26, 2.967, 12.84, 23h51m, +74°37'11.67", 162°03'52.4", interacción galaxias
NGC 3648,   11h22m33.1s, +39°52'31.1", 12.80, 1.173, 12.17, 23h52m, +54°54'43.75", 142°34'37.4", galaxia
NGC 3651,   11h22m27.7s, +24°17'49.6", 13.68, 1.137, 13.67, 23h52m, +70°29'25.28", 158°01'58.1", galaxia
NGC 3653,   11h22m31.5s, +24°16'38.6", 13.97, 0.943, 12.99, 23h52m, +70°30'36.32", 158°03'16.3", radio galaxia
NGC 3655,   11h22m55.9s, +16°35'17.0", 12.04, 1.343, 11.96, 23h52m, +78°11'58.07", 165°37'12.3", galaxia activa
NGC 3656,   11h23m40.7s, +53°50'26.8", 12.95, 1.427, 13.27, 23h53m, +40°56'48.49", 128°40'29.4", interacción galaxias
NGC 3660,   11h23m33.6s, -8°39'38.9", 14.58, 1.963, 15.23, 23h53m, +76°33'05.80", 168°19'49.4", galaxia activa
NGC 3662,   11h23m47.7s, -1°06'25.8", 13.61, 1.387, 13.70, 23h53m, +84°06'18.85", 175°11'32.7", galaxia
NGC 3665,   11h24m45.2s, +38°45'39.9", 11.78, 2.373, 13.09, 23h54m, +56°01'35.87", 143°43'31.1", radio galaxia
NGC 3671,   11h25m55.1s, +60°28'43.2", 14.95, 0.537, 13.31, 23h55m, +34°18'33.01", 122°04'04.1", radio galaxia
NGC 3672,   11h25m03.8s, -9°47'51.5", 11.80, 2.967, 12.85, 23h54m, +75°24'52.68", 167°19'08.7", galaxia
NGC 3675,   11h26m10.3s, +43°35'03.5", 11.23, 4.447, 12.68, 23h56m, +51°12'12.75", 138°56'07.9", galaxia
NGC 3677,   11h26m19.6s, +46°58'21.5", 13.45, 0.983, 12.88, 23h56m, +47°48'54.83", 135°33'20.8", radio galaxia
NGC 3678,   11h26m17.2s, +27°51'54.4", 13.80, 0.780, 12.75, 23h56m, +66°55'21.85", 154°36'18.6", galaxia
NGC 3680,   11h25m39.7s, -43°14'40.8", 7.79, 12.000, 12.93, 23h55m, +41°58'03.11", 134°06'54.0", cúmulo estelar abierto
NGC 3682,   11h27m44.4s, +66°35'20.0", 12.51, 1.273, 12.14, 23h57m, +28°11'56.84", 115°58'25.3", galaxia
NGC 3683,   11h27m34.2s, +56°52'31.7", 12.76, 1.470, 12.13, 23h57m, +37°54'45.03", 125°40'37.8", galaxia activa
NGC 3687,   11h28m02.0s, +29°30'32.7", 12.72, 1.400, 13.05, 23h57m, +65°16'44.23", 153°00'06.4", galaxia
NGC 3690,   11h28m33.7s, +58°33'37.5", 13.08, 1.607, 13.71, 23h58m, +36°13'39.59", 123°59'58.1", interacción galaxias
NGC 3692,   11h28m25.3s, +9°24'19.9", 12.81, 1.900, 12.48, 23h58m, +85°22'57.16", 172°54'35.0", galaxia activa
NGC 3695,   11h29m18.7s, +35°34'25.3", 16.26, 0.687, 13.26, 23h59m, +59°12'52.08", 146°58'04.6", galaxia
NGC 3699,   11h28m00.3s, -59°57'31.8", 11.60, 0.747, 10.41, 23h57m, +25°15'11.37", 117°26'28.5", nebulosa planetaria
NGC 3700,   11h29m40.1s, +35°30'46.2", 13.94, 0.800, 12.67, 23h59m, +59°16'31.21", 147°01'57.3", galaxia
NGC 3705,   11h30m08.7s, +9°16'27.8", 11.20, 3.110, 12.79, 23h59m, +85°30'49.78", 173°08'29.0", galaxia
NGC 3706,   11h29m46.0s, -36°23'35.0", 11.25, 2.283, 12.43, 23h59m, +48°49'07.54", 140°59'56.6", interacción galaxias
NGC 3716,   11h31m42.4s, +3°29'08.7", 13.39, 0.983, 12.77, 0h05m, +88°41'50.65", 178°34'09.8", galaxia activa
NGC 3718,   11h32m37.0s, +53°03'59.0", 10.81, 2.940, 12.64, 0h06m, +41°43'19.41", 129°30'28.5", galaxia activa
NGC 3720,   11h32m22.9s, +0°48'06.4", 19.94, 0.860, 13.20, 0h06m, +86°00'48.11", 177°59'21.1", interacción galaxias
NGC 3731,   11h34m13.0s, +12°30'35.6", 13.55, 0.757, 12.59, 0h07m, +82°16'43.22", 170°03'29.7", galaxia
NGC 3733,   11h35m03.8s, +54°50'56.7", 18.07, 0.930, 12.63, 0h08m, +39°56'22.38", 127°43'48.1", galaxia
NGC 3735,   11h36m01.1s, +70°32'04.8", 12.75, 2.920, 13.14, 0h09m, +24°15'14.58", 112°02'41.7", galaxia activa
NGC 3737,   11h35m38.6s, +54°56'49.5", 13.44, 0.833, 12.11, 0h09m, +39°50'29.73", 127°37'56.6", galaxia
NGC 3738,   11h35m49.3s, +54°31'26.9", 12.24, 2.454, 13.65, 0h09m, +40°15'52.38", 128°03'19.4", galaxia activa
NGC 3739,   11h35m39.0s, +25°05'11.3", 14.64, 1.153, 13.51, 0h09m, +69°42'07.91", 157°29'34.0", galaxia
NGC 3743,   11h35m58.7s, +21°43'13.9", 14.71, 0.533, 12.99, 0h09m, +73°04'05.39", 160°51'32.4", galaxia
NGC 3746 (Septeto de Coperland),   11h37m45.0s, +22°00'27.2", 14.15, 0.867, 13.09, 0h11m, +72°46'52.63", 160°34'05.2", galaxia
NGC 3748 (Septeto de Coperland),   11h37m50.4s, +22°01'26.2", 14.83, 0.420, 12.09, 0h11m, +72°45'53.62", 160°33'04.5", galaxia
NGC 3750 (Septeto de Coperland),   11h37m53.0s, +21°58'19.3", 14.38, 0.741, 13.27, 0h11m, +72°49'00.47", 160°36'10.5", galaxia
NGC 3753 (Septeto de Coperland),   11h37m55.1s, +21°58'44.2", 13.95, 1.447, 13.25, 0h11m, +72°48'35.64", 160°35'45.0", galaxia activa
NGC 3754 (Septeto de Coperland),   11h37m56.5s, +21°58'56.6", 15.78, 0.633, 13.80, 0h11m, +72°48'23.27", 160°35'32.2", galaxia
NGC 3756,   11h36m50.1s, +54°17'31.9", 11.97, 2.633, 13.05, 0h10m, +40°29'47.65", 128°17'13.9", galaxia
NGC 3765,   11h37m05.6s, +24°05'39.0", 14.15, 1.040, 13.18, 0h10m, +70°41'40.63", 158°29'03.1", galaxia
NGC 3766 (Cúmulo Perla),   11h36m20.7s, -61°36'57.2", 5.62, 15.000, 11.24, 0h09m, +23°35'43.35", 115°48'16.2", cúmulo estelar abierto
NGC 3776,   11h38m19.3s, -3°21'24.3", 15.72, 0.693, 14.03, 0h11m, +81°51'15.82", 174°02'19.4", galaxia
NGC 3780,   11h39m24.6s, +56°16'09.3", 12.86, 2.633, 13.76, 0h13m, +38°31'10.89", 126°18'22.7", galaxia
NGC 3783,   11h39m03.3s, -37°44'24.5", 13.61, 1.407, 12.60, 0h12m, +47°28'15.45", 139°40'28.7", galaxia activa
NGC 3786,   11h39m44.0s, +31°54'26.3", 13.89, 1.787, 13.99, 0h13m, +62°52'53.97", 150°39'36.4", galaxia activa
NGC 3788,   11h39m46.1s, +31°55'45.3", 12.65, 2.070, 12.42, 0h13m, +62°51'34.99", 150°38'16.5", interacción galaxias
NGC 3798,   11h40m15.3s, +24°41'41.5", 13.07, 1.027, 12.41, 0h13m, +70°05'38.85", 157°51'44.9", galaxia activa
NGC 3801,   11h40m18.2s, +17°43'32.4", 12.81, 1.897, 13.35, 0h13m, +77°03'47.96", 164°49'10.3", radio galaxia
NGC 3805,   11h40m43.0s, +20°20'26.9", 12.90, 1.173, 12.57, 0h14m, +74°26'53.58", 162°12'13.5", galaxia
NGC 3810,   11h41m00.0s, +11°28'07.9", 11.38, 3.053, 13.12, 0h14m, +83°19'12.65", 171°01'46.2", galaxia
NGC 3811,   11h41m18.5s, +47°41'20.3", 13.10, 1.417, 13.04, 0h15m, +47°06'00.29", 134°52'36.4", galaxia
NGC 3816,   11h41m49.4s, +20°06'04.8", 12.64, 1.457, 12.74, 0h15m, +74°41'15.96", 162°25'24.5", galaxia
NGC 3821,   11h42m10.4s, +20°18'48.8", 13.02, 1.063, 12.13, 0h15m, +74°28'32.04", 162°12'18.3", galaxia
NGC 3825,   11h42m25.0s, +10°15'42.6", 13.22, 0.750, 12.09, 0h16m, +84°31'38.26", 172°09'40.9", galaxia
NGC 3826,   11h42m34.3s, +26°29'12.1", 13.53, 0.957, 12.85, 0h16m, +68°18'08.80", 156°02'35.5", radio galaxia
NGC 3828,   11h42m59.8s, +16°29'07.0", 14.68, 0.613, 13.00, 0h16m, +78°18'13.94", 165°59'33.0", galaxia
NGC 3834,   11h43m39.0s, +19°05'17.5", 14.05, 0.693, 12.69, 0h17m, +75°42'03.58", 163°23'22.2", galaxia
NGC 3835,   11h44m07.4s, +60°07'05.6", 12.89, 1.807, 12.68, 0h17m, +34°40'15.55", 122°26'27.1", galaxia
NGC 3837,   11h43m57.8s, +19°53'32.3", 13.54, 0.777, 12.57, 0h17m, +74°53'48.89", 162°34'56.2", galaxia
NGC 3839,   11h43m55.6s, +10°46'56.9", 13.81, 0.797, 12.46, 0h17m, +84°00'24.20", 171°34'22.0", radio galaxia
NGC 3840,   11h44m00.3s, +20°04'29.3", 13.98, 0.620, 12.58, 0h17m, +74°42'51.89", 162°23'59.3", galaxia activa
NGC 3841,   11h44m03.5s, +19°58'10.3", 14.23, 0.710, 13.03, 0h17m, +74°49'10.90", 162°30'10.7", galaxia
NGC 3842,   11h44m03.5s, +19°56'51.3", 11.96, 1.577, 12.41, 0h17m, +74°50'29.91", 162°31'29.2", galaxia
NGC 3843,   11h43m55.9s, +7°55'23.9", 13.63, 1.090, 12.51, 0h17m, +86°51'57.20", 174°18'55.6", galaxia activa
NGC 3844,   11h44m02.1s, +20°01'37.3", 14.01, 0.713, 12.12, 0h17m, +74°45'43.90", 162°26'47.4", galaxia
NGC 3845,   11h44m06.8s, +19°59'38.3", 14.42, 0.677, 12.92, 0h17m, +74°47'42.92", 162°28'38.0", galaxia
